language,name_english,name,long_name,book_number,abbreviation,testament,division
Filipino,1 Thessalonians,1 Tesalonica,The First Epistle to the Thessalonians,52,1TH,NewTestament,PaulineEpistle
Filipino,2 Thessalonians,2 Tesalonica,The Second Epistle to the Thessalonians,53,2TH,NewTestament,PaulineEpistle
Filipino,1 Timothy,1 Timoteo,The First Epistle to Timothy,54,1TI,NewTestament,PaulineEpistle
Filipino,2 Timothy,2 Timoteo,The First Epistle to Timothy,55,2TI,NewTestament,PaulineEpistle
Filipino,Titus,Tito,The Epistle to Titus,56,TIT,NewTestament,PaulineEpistle
Filipino,Philemon,Filemon,The Epistle to Philemon,57,PHM,NewTestament,PaulineEpistle
Filipino,Hebrews,Hebreo,The Epistle to the Hebrews,58,HEB,NewTestament,GeneralEpistle
Filipino,James,Santiago,The General Epistle of James,59,JAM,NewTestament,GeneralEpistle
Filipino,1 Peter,1 Pedro,The First General Epistle of Peter,60,1PE,NewTestament,GeneralEpistle
Filipino,2 Peter,2 Pedro,The Second General Epistle of Peter,61,2PE,NewTestament,GeneralEpistle
Filipino,1 John,1 Juan,The First General Epistle of John,62,1JN,NewTestament,GeneralEpistle
Filipino,2 John,2 Juan,The Second General Epistle of John,63,2JN,NewTestament,GeneralEpistle
Filipino,3 John,3 Juan,The Third General Epistle of John,64,3JN,NewTestament,GeneralEpistle
Filipino,Jude,Judas,The General Epistle of Jude,65,JUD,NewTestament,GeneralEpistle
Filipino,Revelation,Pahayag,The Revelation to John,66,REV,NewTestament,Prophecy
